rank,date_12ut,jd,robust_score,matched_unique_modules,selected_modules_json
11,0713-10-19T12:00:00Z,1981769.0,2.5681910514831543,1,"[{""module_id"":""1947_Merc_J_V"",""source_group"":""1947-11-29"",""family_id"":""F03_D_Jupiter-Mercury-Venus"",""excess_surprisal"":2.5681910514831543,""n_bodies"":3,""note"":""Mercury\u2013Jupiter\u2013Venus 20/20/40 ladder""}]"
12,0267-06-16T12:00:00Z,1818746.0,2.5681910514831543,1,"[{""module_id"":""2026F_M_V_S_N"",""source_group"":""2026-02-28"",""family_id"":""F35_D_Mercury-Neptune-Saturn-Venus"",""excess_surprisal"":2.5681910514831543,""n_bodies"":4,""note"":""Mercury/Venus and Saturn/Neptune dual double-node""}]"
13,0970-09-03T12:00:00Z,2075591.0,2.5681910514831543,1,"[{""module_id"":""2025_J_V_Merc_M"",""source_group"":""2025-09-10"",""family_id"":""F26_D_Jupiter-Mars-Mercury-Venus"",""excess_surprisal"":2.5681910514831543,""n_bodies"":4,""note"":""Jupiter\u2013Venus\u2013Mercury\u2013Mars 0/30/60/90 ladder""}]"
14,0143-04-30T12:00:00Z,1773409.0,2.5681910514831543,1,"[{""module_id"":""1947_M_V_U"",""source_group"":""1947-11-29"",""family_id"":""F10_D_Mars-Uranus-Venus"",""excess_surprisal"":2.5681910514831543,""n_bodies"":3,""note"":""Mars\u2013Venus\u2013Uranus 60/120/180 gate""}]"
15,1887-07-07T12:00:00Z,2410460.0,2.5681910514831543,1,"[{""module_id"":""1775_P_Merc_U"",""source_group"":""1775-04-19"",""family_id"":""F13_D_Mercury-Pluto-Uranus"",""excess_surprisal"":2.5681910514831543,""n_bodies"":3,""note"":""Pluto\u2013Mercury\u2013Uranus 60/60/120 module""}]"
16,0476-02-23T12:00:00Z,1894969.0,2.5681910514831543,1,"[{""module_id"":""2023_P_N_U"",""source_group"":""2023-10-07"",""family_id"":""F19_D_Neptune-Pluto-Uranus"",""excess_surprisal"":2.5681910514831543,""n_bodies"":3,""note"":""Pluto\u2013Neptune\u2013Uranus 60/60/120 triad""}]"
17,1052-01-19T12:00:00Z,2105313.0,2.5681910514831543,1,"[{""module_id"":""1947_P_S_M"",""source_group"":""1947-11-29"",""family_id"":""F07_D_Mars-Pluto-Saturn"",""excess_surprisal"":2.5681910514831543,""n_bodies"":3,""note"":""Pluto\u2013Saturn\u2013Mars tiny midpoint""}]"
18,0932-05-12T12:00:00Z,2061598.0,2.5681910514831543,1,"[{""module_id"":""1918C_P_Merc_N"",""source_group"":""1918-05-22"",""family_id"":""F11_D_Mercury-Neptune-Pluto"",""excess_surprisal"":2.5681910514831543,""n_bodies"":3,""note"":""May 22 Pluto\u2013Mercury\u2013Neptune triad""}]"
19,0815-01-12T12:00:00Z,2018744.0,2.5681910514831543,1,"[{""module_id"":""2020_N_U_V"",""source_group"":""2020-03-11"",""family_id"":""F22_D_Neptune-Uranus-Venus"",""excess_surprisal"":2.5681910514831543,""n_bodies"":3,""note"":""Neptune to Uranus/Venus double node""}]"
20,0916-08-15T12:00:00Z,2055849.0,2.5681910514831543,1,"[{""module_id"":""1929_U_Merc_V"",""source_group"":""1929-10-24"",""family_id"":""F16_D_Mercury-Uranus-Venus"",""excess_surprisal"":2.5681910514831543,""n_bodies"":3,""note"":""Uranus opposite Mercury/Venus gate""}]"
21,1425-04-01T12:00:00Z,2241621.0,2.5681910514831543,1,"[{""module_id"":""1918A_P_Merc_N"",""source_group"":""1918-04-05"",""family_id"":""F11_D_Mercury-Neptune-Pluto"",""excess_surprisal"":2.5681910514831543,""n_bodies"":3,""note"":""April 5 Pluto\u2013Mercury\u2013Neptune 30/60/90""}]"
22,0740-04-26T12:00:00Z,1991455.0,2.5681910514831543,1,"[{""module_id"":""1978_Merc_N_M"",""source_group"":""1978-12-11"",""family_id"":""F05_D_Mars-Mercury-Neptune"",""excess_surprisal"":2.5681910514831543,""n_bodies"":3,""note"":""Mercury\u2013Neptune\u2013Mars midpoint""}]"
23,1972-11-04T12:00:00Z,2441626.0,2.5681910514831543,1,"[{""module_id"":""1918B_Merc_J_V"",""source_group"":""1918-04-17"",""family_id"":""F02_D_Jupiter-Mercury-Venus"",""excess_surprisal"":2.5681910514831543,""n_bodies"":3,""note"":""April 17 Mercury\u2013Jupiter\u2013Venus 30/60/90""}]"
24,0904-06-02T12:00:00Z,2051392.0,2.5681910514831543,1,"[{""module_id"":""1914_V_U_M"",""source_group"":""1914-06-28"",""family_id"":""F09_D_Mars-Uranus-Venus"",""excess_surprisal"":2.5681910514831543,""n_bodies"":3,""note"":""Venus\u2013Uranus diameter with Mars branch""}]"
25,1725-03-18T12:00:00Z,2351180.0,2.5681910514831543,1,"[{""module_id"":""2008_Merc_V_M"",""source_group"":""2008-09-15"",""family_id"":""F06_D_Mars-Mercury-Venus"",""excess_surprisal"":2.5681910514831543,""n_bodies"":3,""note"":""Mercury\u2013Venus\u2013Mars triple node""}]"
26,0182-11-04T12:00:00Z,1787842.0,2.5436503887176514,2,"[{""module_id"":""1914_V_U_M"",""source_group"":""1914-06-28"",""family_id"":""F09_D_Mars-Uranus-Venus"",""excess_surprisal"":1.9149785041809082,""n_bodies"":3,""note"":""Venus\u2013Uranus diameter with Mars branch""},{""module_id"":""1929_U_Merc_V"",""source_group"":""1929-10-24"",""family_id"":""F16_D_Mercury-Uranus-Venus"",""excess_surprisal"":0.6286718845367432,""n_bodies"":3,""note"":""Uranus opposite Mercury/Venus gate""}]"
27,1822-11-13T12:00:00Z,2386848.0,2.53568172454834,2,"[{""module_id"":""1913_S_Merc_V"",""source_group"":""1913-12-23"",""family_id"":""F15_D_Mercury-Saturn-Venus"",""excess_surprisal"":1.4068231582641602,""n_bodies"":3,""note"":""Saturn opposite Mercury/Venus fork""},{""module_id"":""1775_Merc_U_S"",""source_group"":""1775-04-19"",""family_id"":""F14_D_Mercury-Saturn-Uranus"",""excess_surprisal"":1.1288585662841797,""n_bodies"":3,""note"":""Mercury\u2013Uranus\u2013Saturn 60/120/180 module""}]"
28,1467-07-10T12:00:00Z,2257061.0,2.417050838470459,2,"[{""module_id"":""2026B_N_P_V"",""source_group"":""2026-09-17"",""family_id"":""F21_D_Neptune-Pluto-Venus"",""excess_surprisal"":1.6651010513305664,""n_bodies"":3,""note"":""Neptune\u2013Pluto\u2013Venus 60/90/150 triad""},{""module_id"":""1978_P_U_N"",""source_group"":""1978-12-11"",""family_id"":""F18_D_Neptune-Pluto-Uranus"",""excess_surprisal"":0.7519497871398926,""n_bodies"":3,""note"":""Pluto\u2013Uranus\u2013Neptune midpoint""}]"
29,1018-01-27T12:00:00Z,2092903.0,2.3920998573303223,1,"[{""module_id"":""1978_Merc_N_M"",""source_group"":""1978-12-11"",""family_id"":""F05_D_Mars-Mercury-Neptune"",""excess_surprisal"":2.3920998573303223,""n_bodies"":3,""note"":""Mercury\u2013Neptune\u2013Mars midpoint""}]"
30,1348-02-25T12:00:00Z,2213462.0,2.3920998573303223,1,"[{""module_id"":""1918C_V_J_M"",""source_group"":""1918-05-22"",""family_id"":""F01_D_Jupiter-Mars-Venus"",""excess_surprisal"":2.3920998573303223,""n_bodies"":3,""note"":""May 22 Venus\u2013Jupiter\u2013Mars triad""}]"
31,1044-09-26T12:00:00Z,2102642.0,2.3920998573303223,1,"[{""module_id"":""2026B_N_P_V"",""source_group"":""2026-09-17"",""family_id"":""F21_D_Neptune-Pluto-Venus"",""excess_surprisal"":2.3920998573303223,""n_bodies"":3,""note"":""Neptune\u2013Pluto\u2013Venus 60/90/150 triad""}]"
32,0913-05-23T12:00:00Z,2054669.0,2.3920998573303223,1,"[{""module_id"":""1947_P_S_M"",""source_group"":""1947-11-29"",""family_id"":""F07_D_Mars-Pluto-Saturn"",""excess_surprisal"":2.3920998573303223,""n_bodies"":3,""note"":""Pluto\u2013Saturn\u2013Mars tiny midpoint""}]"
33,1234-10-28T12:00:00Z,2172070.0,2.3920998573303223,1,"[{""module_id"":""1913_S_Merc_V"",""source_group"":""1913-12-23"",""family_id"":""F15_D_Mercury-Saturn-Venus"",""excess_surprisal"":2.3920998573303223,""n_bodies"":3,""note"":""Saturn opposite Mercury/Venus fork""}]"
34,0088-05-14T12:00:00Z,1753336.0,2.3920998573303223,1,"[{""module_id"":""2026F_M_V_S_N"",""source_group"":""2026-02-28"",""family_id"":""F35_D_Mercury-Neptune-Saturn-Venus"",""excess_surprisal"":2.3920998573303223,""n_bodies"":4,""note"":""Mercury/Venus and Saturn/Neptune dual double-node""}]"
35,1057-10-05T12:00:00Z,2107399.0,2.3920998573303223,1,"[{""module_id"":""1947_Merc_J_V"",""source_group"":""1947-11-29"",""family_id"":""F03_D_Jupiter-Mercury-Venus"",""excess_surprisal"":2.3920998573303223,""n_bodies"":3,""note"":""Mercury\u2013Jupiter\u2013Venus 20/20/40 ladder""}]"
36,0001-10-13T12:00:00Z,1721711.0,2.3920998573303223,1,"[{""module_id"":""1929_U_Merc_V"",""source_group"":""1929-10-24"",""family_id"":""F16_D_Mercury-Uranus-Venus"",""excess_surprisal"":2.3920998573303223,""n_bodies"":3,""note"":""Uranus opposite Mercury/Venus gate""}]"
37,1432-02-22T12:00:00Z,2244139.0,2.3920998573303223,1,"[{""module_id"":""2023_P_V_M"",""source_group"":""2023-10-07"",""family_id"":""F08_D_Mars-Pluto-Venus"",""excess_surprisal"":2.3920998573303223,""n_bodies"":3,""note"":""Venus\u2013Mars\u2013Pluto 60/90/150 triad""}]"
38,0522-07-26T12:00:00Z,1911923.0,2.3920998573303223,1,"[{""module_id"":""1918B_Merc_J_V"",""source_group"":""1918-04-17"",""family_id"":""F02_D_Jupiter-Mercury-Venus"",""excess_surprisal"":2.3920998573303223,""n_bodies"":3,""note"":""April 17 Mercury\u2013Jupiter\u2013Venus 30/60/90""}]"
39,0990-04-10T12:00:00Z,2082750.0,2.3920998573303223,1,"[{""module_id"":""2008_Merc_V_M"",""source_group"":""2008-09-15"",""family_id"":""F06_D_Mars-Mercury-Venus"",""excess_surprisal"":2.3920998573303223,""n_bodies"":3,""note"":""Mercury\u2013Venus\u2013Mars triple node""}]"
40,1268-09-28T12:00:00Z,2184459.0,2.3920998573303223,1,"[{""module_id"":""1947_M_V_U"",""source_group"":""1947-11-29"",""family_id"":""F10_D_Mars-Uranus-Venus"",""excess_surprisal"":2.3920998573303223,""n_bodies"":3,""note"":""Mars\u2013Venus\u2013Uranus 60/120/180 gate""}]"
41,1986-06-20T12:00:00Z,2446602.0,2.2671613693237305,1,"[{""module_id"":""2026B_N_P_V"",""source_group"":""2026-09-17"",""family_id"":""F21_D_Neptune-Pluto-Venus"",""excess_surprisal"":2.2671613693237305,""n_bodies"":3,""note"":""Neptune\u2013Pluto\u2013Venus 60/90/150 triad""}]"
42,0785-07-21T12:00:00Z,2007977.0,2.2671613693237305,1,"[{""module_id"":""1913_S_Merc_V"",""source_group"":""1913-12-23"",""family_id"":""F15_D_Mercury-Saturn-Venus"",""excess_surprisal"":2.2671613693237305,""n_bodies"":3,""note"":""Saturn opposite Mercury/Venus fork""}]"
43,0680-11-29T12:00:00Z,1969758.0,2.2671613693237305,1,"[{""module_id"":""1918B_Merc_J_V"",""source_group"":""1918-04-17"",""family_id"":""F02_D_Jupiter-Mercury-Venus"",""excess_surprisal"":2.2671613693237305,""n_bodies"":3,""note"":""April 17 Mercury\u2013Jupiter\u2013Venus 30/60/90""}]"
44,0393-08-26T12:00:00Z,1864838.0,2.2671613693237305,1,"[{""module_id"":""1918C_V_J_M"",""source_group"":""1918-05-22"",""family_id"":""F01_D_Jupiter-Mars-Venus"",""excess_surprisal"":2.2671613693237305,""n_bodies"":3,""note"":""May 22 Venus\u2013Jupiter\u2013Mars triad""}]"
45,1699-04-14T12:00:00Z,2341711.0,2.2671613693237305,1,"[{""module_id"":""2023_P_V_M"",""source_group"":""2023-10-07"",""family_id"":""F08_D_Mars-Pluto-Venus"",""excess_surprisal"":2.2671613693237305,""n_bodies"":3,""note"":""Venus\u2013Mars\u2013Pluto 60/90/150 triad""}]"
46,1134-03-16T12:00:00Z,2135319.0,2.2671613693237305,1,"[{""module_id"":""1947_M_V_U"",""source_group"":""1947-11-29"",""family_id"":""F10_D_Mars-Uranus-Venus"",""excess_surprisal"":2.2671613693237305,""n_bodies"":3,""note"":""Mars\u2013Venus\u2013Uranus 60/120/180 gate""}]"
47,0970-11-06T12:00:00Z,2075655.0,2.2671613693237305,1,"[{""module_id"":""2000_N_U_V_Merc"",""source_group"":""2000-03-10"",""family_id"":""F36_D_Mercury-Neptune-Uranus-Venus"",""excess_surprisal"":2.2671613693237305,""n_bodies"":4,""note"":""Nested Neptune\u2013Uranus\u2013Venus\u2013Mercury rail""}]"
48,0743-12-17T12:00:00Z,1992785.0,2.2671613693237305,1,"[{""module_id"":""1775_P_Merc_U"",""source_group"":""1775-04-19"",""family_id"":""F13_D_Mercury-Pluto-Uranus"",""excess_surprisal"":2.2671613693237305,""n_bodies"":3,""note"":""Pluto\u2013Mercury\u2013Uranus 60/60/120 module""}]"
49,0113-06-18T12:00:00Z,1762501.0,2.2671613693237305,1,"[{""module_id"":""1947_P_S_M"",""source_group"":""1947-11-29"",""family_id"":""F07_D_Mars-Pluto-Saturn"",""excess_surprisal"":2.2671613693237305,""n_bodies"":3,""note"":""Pluto\u2013Saturn\u2013Mars tiny midpoint""}]"
50,0196-04-28T12:00:00Z,1792766.0,2.2671613693237305,1,"[{""module_id"":""2008_Merc_V_M"",""source_group"":""2008-09-15"",""family_id"":""F06_D_Mars-Mercury-Venus"",""excess_surprisal"":2.2671613693237305,""n_bodies"":3,""note"":""Mercury\u2013Venus\u2013Mars triple node""}]"
51,1111-07-05T12:00:00Z,2127029.0,2.2671613693237305,1,"[{""module_id"":""2025_J_V_Merc_M"",""source_group"":""2025-09-10"",""family_id"":""F26_D_Jupiter-Mars-Mercury-Venus"",""excess_surprisal"":2.2671613693237305,""n_bodies"":4,""note"":""Jupiter\u2013Venus\u2013Mercury\u2013Mars 0/30/60/90 ladder""}]"
52,1560-04-30T12:00:00Z,2290958.0,2.2671613693237305,1,"[{""module_id"":""1978_Merc_N_M"",""source_group"":""1978-12-11"",""family_id"":""F05_D_Mars-Mercury-Neptune"",""excess_surprisal"":2.2671613693237305,""n_bodies"":3,""note"":""Mercury\u2013Neptune\u2013Mars midpoint""}]"
53,1590-11-01T12:00:00Z,2302100.0,2.2671613693237305,1,"[{""module_id"":""2026A_S_M_J_Merc"",""source_group"":""2026-09-01"",""family_id"":""F25_D_Jupiter-Mars-Mercury-Saturn"",""excess_surprisal"":2.2671613693237305,""n_bodies"":4,""note"":""Saturn-anchored 90/120/150 fan and 30/30/60 ladder""}]"
54,0168-10-15T12:00:00Z,1782709.0,2.2671613693237305,1,"[{""module_id"":""1947_Merc_J_V"",""source_group"":""1947-11-29"",""family_id"":""F03_D_Jupiter-Mercury-Venus"",""excess_surprisal"":2.2671613693237305,""n_bodies"":3,""note"":""Mercury\u2013Jupiter\u2013Venus 20/20/40 ladder""}]"
55,1458-06-15T12:00:00Z,2253749.0,2.2671613693237305,1,"[{""module_id"":""1775_Merc_U_S"",""source_group"":""1775-04-19"",""family_id"":""F14_D_Mercury-Saturn-Uranus"",""excess_surprisal"":2.2671613693237305,""n_bodies"":3,""note"":""Mercury\u2013Uranus\u2013Saturn 60/120/180 module""}]"
56,1421-08-04T12:00:00Z,2240285.0,2.2671613693237305,1,"[{""module_id"":""1914_P_N_Merc_M"",""source_group"":""1914-06-28"",""family_id"":""F33_D_Mars-Mercury-Neptune-Pluto"",""excess_surprisal"":2.2671613693237305,""n_bodies"":4,""note"":""Pluto \u2192 Neptune/Mercury double-node \u2192 Mars""}]"
57,1577-08-08T12:00:00Z,2297267.0,2.2671613693237305,1,"[{""module_id"":""1914_V_U_M"",""source_group"":""1914-06-28"",""family_id"":""F09_D_Mars-Uranus-Venus"",""excess_surprisal"":2.2671613693237305,""n_bodies"":3,""note"":""Venus\u2013Uranus diameter with Mars branch""}]"
58,1779-12-01T12:00:00Z,2371161.0,2.2671613693237305,1,"[{""module_id"":""1929_U_Merc_V"",""source_group"":""1929-10-24"",""family_id"":""F16_D_Mercury-Uranus-Venus"",""excess_surprisal"":2.2671613693237305,""n_bodies"":3,""note"":""Uranus opposite Mercury/Venus gate""}]"
59,0956-03-09T12:00:00Z,2070300.0,2.2671613693237305,1,"[{""module_id"":""1929_U_Merc_V_M"",""source_group"":""1929-10-24"",""family_id"":""F34_D_Mars-Mercury-Uranus-Venus"",""excess_surprisal"":2.2671613693237305,""n_bodies"":4,""note"":""Opposition gate plus 30-degree Mars routing""}]"
60,1714-03-10T12:00:00Z,2347154.0,2.2006232738494873,2,"[{""module_id"":""1929_U_Merc_V"",""source_group"":""1929-10-24"",""family_id"":""F16_D_Mercury-Uranus-Venus"",""excess_surprisal"":1.507493495941162,""n_bodies"":3,""note"":""Uranus opposite Mercury/Venus gate""},{""module_id"":""1914_V_U_M"",""source_group"":""1914-06-28"",""family_id"":""F09_D_Mars-Uranus-Venus"",""excess_surprisal"":0.6931297779083252,""n_bodies"":3,""note"":""Venus\u2013Uranus diameter with Mars branch""}]"
61,0627-03-11T12:00:00Z,1950136.0,2.1702513694763184,1,"[{""module_id"":""1914_V_U_M"",""source_group"":""1914-06-28"",""family_id"":""F09_D_Mars-Uranus-Venus"",""excess_surprisal"":2.1702513694763184,""n_bodies"":3,""note"":""Venus\u2013Uranus diameter with Mars branch""}]"
62,0406-05-05T12:00:00Z,1869473.0,2.1702513694763184,1,"[{""module_id"":""2020_S_Merc_N"",""source_group"":""2020-03-11"",""family_id"":""F12_D_Mercury-Neptune-Saturn"",""excess_surprisal"":2.1702513694763184,""n_bodies"":3,""note"":""Saturn\u2013Mercury\u2013Neptune 30/20/50 rail""}]"
63,1005-01-26T12:00:00Z,2088154.0,2.1702513694763184,1,"[{""module_id"":""1775_P_Merc_U"",""source_group"":""1775-04-19"",""family_id"":""F13_D_Mercury-Pluto-Uranus"",""excess_surprisal"":2.1702513694763184,""n_bodies"":3,""note"":""Pluto\u2013Mercury\u2013Uranus 60/60/120 module""}]"
64,1166-06-10T12:00:00Z,2147093.0,2.1702513694763184,1,"[{""module_id"":""2026B_N_U_V"",""source_group"":""2026-09-17"",""family_id"":""F23_D_Neptune-Uranus-Venus"",""excess_surprisal"":2.1702513694763184,""n_bodies"":3,""note"":""Venus near antipode of Uranus\u2013Neptune midpoint""}]"
65,0401-07-29T12:00:00Z,1867732.0,2.1702513694763184,1,"[{""module_id"":""1913_S_Merc_V"",""source_group"":""1913-12-23"",""family_id"":""F15_D_Mercury-Saturn-Venus"",""excess_surprisal"":2.1702513694763184,""n_bodies"":3,""note"":""Saturn opposite Mercury/Venus fork""}]"
66,1541-04-04T12:00:00Z,2283992.0,2.1702513694763184,1,"[{""module_id"":""1978_Merc_N_M"",""source_group"":""1978-12-11"",""family_id"":""F05_D_Mars-Mercury-Neptune"",""excess_surprisal"":2.1702513694763184,""n_bodies"":3,""note"":""Mercury\u2013Neptune\u2013Mars midpoint""}]"
67,1466-04-10T12:00:00Z,2256605.0,2.1702513694763184,1,"[{""module_id"":""2023_P_V_M"",""source_group"":""2023-10-07"",""family_id"":""F08_D_Mars-Pluto-Venus"",""excess_surprisal"":2.1702513694763184,""n_bodies"":3,""note"":""Venus\u2013Mars\u2013Pluto 60/90/150 triad""}]"
68,0777-04-23T12:00:00Z,2004966.0,2.1702513694763184,1,"[{""module_id"":""1775_Merc_U_S"",""source_group"":""1775-04-19"",""family_id"":""F14_D_Mercury-Saturn-Uranus"",""excess_surprisal"":2.1702513694763184,""n_bodies"":3,""note"":""Mercury\u2013Uranus\u2013Saturn 60/120/180 module""}]"
69,0643-12-03T12:00:00Z,1956247.0,2.1702513694763184,1,"[{""module_id"":""2020_N_U_V"",""source_group"":""2020-03-11"",""family_id"":""F22_D_Neptune-Uranus-Venus"",""excess_surprisal"":2.1702513694763184,""n_bodies"":3,""note"":""Neptune to Uranus/Venus double node""}]"
70,1318-09-12T12:00:00Z,2202704.0,2.1702513694763184,1,"[{""module_id"":""1918B_Merc_J_V"",""source_group"":""1918-04-17"",""family_id"":""F02_D_Jupiter-Mercury-Venus"",""excess_surprisal"":2.1702513694763184,""n_bodies"":3,""note"":""April 17 Mercury\u2013Jupiter\u2013Venus 30/60/90""}]"
71,0058-09-11T12:00:00Z,1742498.0,2.1702513694763184,1,"[{""module_id"":""2026B_N_P_V"",""source_group"":""2026-09-17"",""family_id"":""F21_D_Neptune-Pluto-Venus"",""excess_surprisal"":2.1702513694763184,""n_bodies"":3,""note"":""Neptune\u2013Pluto\u2013Venus 60/90/150 triad""}]"
72,1933-09-07T12:00:00Z,2427323.0,2.1702513694763184,1,"[{""module_id"":""1947_Merc_J_V"",""source_group"":""1947-11-29"",""family_id"":""F03_D_Jupiter-Mercury-Venus"",""excess_surprisal"":2.1702513694763184,""n_bodies"":3,""note"":""Mercury\u2013Jupiter\u2013Venus 20/20/40 ladder""}]"
73,1237-07-25T12:00:00Z,2173071.0,2.1702513694763184,1,"[{""module_id"":""1929_U_Merc_V"",""source_group"":""1929-10-24"",""family_id"":""F16_D_Mercury-Uranus-Venus"",""excess_surprisal"":2.1702513694763184,""n_bodies"":3,""note"":""Uranus opposite Mercury/Venus gate""}]"
74,0462-09-14T12:00:00Z,1890059.0,2.1702513694763184,1,"[{""module_id"":""2008_Merc_V_M"",""source_group"":""2008-09-15"",""family_id"":""F06_D_Mars-Mercury-Venus"",""excess_surprisal"":2.1702513694763184,""n_bodies"":3,""note"":""Mercury\u2013Venus\u2013Mars triple node""}]"
75,1482-06-10T12:00:00Z,2262510.0,2.1702513694763184,1,"[{""module_id"":""1947_M_V_U"",""source_group"":""1947-11-29"",""family_id"":""F10_D_Mars-Uranus-Venus"",""excess_surprisal"":2.1702513694763184,""n_bodies"":3,""note"":""Mars\u2013Venus\u2013Uranus 60/120/180 gate""}]"
76,0538-12-16T12:00:00Z,1917910.0,2.1702513694763184,1,"[{""module_id"":""1918C_V_J_M"",""source_group"":""1918-05-22"",""family_id"":""F01_D_Jupiter-Mars-Venus"",""excess_surprisal"":2.1702513694763184,""n_bodies"":3,""note"":""May 22 Venus\u2013Jupiter\u2013Mars triad""}]"
77,0232-04-01T12:00:00Z,1805887.0,2.1702513694763184,1,"[{""module_id"":""2026F_M_V_S_N"",""source_group"":""2026-02-28"",""family_id"":""F35_D_Mercury-Neptune-Saturn-Venus"",""excess_surprisal"":2.1702513694763184,""n_bodies"":4,""note"":""Mercury/Venus and Saturn/Neptune dual double-node""}]"
78,0613-04-18T12:00:00Z,1945061.0,2.0910696983337402,1,"[{""module_id"":""1947_Merc_J_V"",""source_group"":""1947-11-29"",""family_id"":""F03_D_Jupiter-Mercury-Venus"",""excess_surprisal"":2.0910696983337402,""n_bodies"":3,""note"":""Mercury\u2013Jupiter\u2013Venus 20/20/40 ladder""}]"
79,1355-12-07T12:00:00Z,2216304.0,2.0910696983337402,1,"[{""module_id"":""1929_U_Merc_V"",""source_group"":""1929-10-24"",""family_id"":""F16_D_Mercury-Uranus-Venus"",""excess_surprisal"":2.0910696983337402,""n_bodies"":3,""note"":""Uranus opposite Mercury/Venus gate""}]"
