module_id,source_group,source_iso,family_id,mode,anchor,bodies,target_offsets_deg,note
2026F_M_V_S_N,2026-02-28,2026-02-28T23:30:00,F35_D_Mercury-Neptune-Saturn-Venus,directed,Mercury,"Mercury,Venus,Saturn,Neptune","1.206317,9.739464,9.061029",Mercury/Venus and Saturn/Neptune dual double-node
2026F_M_V_S_N_U_J,2026-02-28,2026-02-28T23:30:00,F44_D_Jupiter-Mercury-Neptune-Saturn-Uranus-Venus,directed,Mercury,"Mercury,Venus,Saturn,Neptune,Uranus,Jupiter","1.206317,9.739464,9.061029,65.749729,113.274189",Six-body parade circuit
2026F_FULL8,2026-02-28,2026-02-28T23:30:00,F60_D_Jupiter-Mars-Mercury-Neptune-Pluto-Saturn-Uranus-Venus,directed,Pluto,"Mercury,Venus,Mars,Jupiter,Saturn,Uranus,Neptune,Pluto","47.449354,48.655671,24.194545,160.723543,57.188818,113.199083,56.510383",Whole eight-planet assembly
2026A_S_M_J_Merc,2026-09-01,2026-09-01T11:40:00,F25_D_Jupiter-Mars-Mercury-Saturn,directed,Saturn,"Saturn,Mars,Jupiter,Mercury","90.048598,120.148558,149.961467",Saturn-anchored 90/120/150 fan and 30/30/60 ladder
2026A_P_N_U,2026-09-01,2026-09-01T11:40:00,F20_D_Neptune-Pluto-Uranus,directed,Pluto,"Pluto,Neptune,Uranus","60.151124,122.156842",Slow 60/60/120 scaffold
2026A_N_S_M_J_Merc,2026-09-01,2026-09-01T11:40:00,F40_D_Jupiter-Mars-Mercury-Neptune-Saturn,directed,Neptune,"Neptune,Saturn,Mars,Jupiter,Mercury","9.999108,100.047705,130.147666,159.960575",Neptune–Saturn bridge into inner lattice
2026A_FULL8,2026-09-01,2026-09-01T11:40:00,F61_D_Jupiter-Mars-Mercury-Neptune-Pluto-Saturn-Uranus-Venus,directed,Pluto,"Mercury,Venus,Mars,Jupiter,Saturn,Uranus,Neptune,Pluto","-139.888301,-99.944740,160.198830,-169.701210,70.150232,122.156842,60.151124",Whole eight-planet assembly
2026B_N_P_V,2026-09-17,2026-09-17T18:19:39,F21_D_Neptune-Pluto-Venus,directed,Neptune,"Neptune,Pluto,Venus","-59.975774,-148.910175",Neptune–Pluto–Venus 60/90/150 triad
2026B_N_U_V,2026-09-17,2026-09-17T18:19:39,F23_D_Neptune-Uranus-Venus,directed,Neptune,"Neptune,Uranus,Venus","62.448372,-148.910175",Venus near antipode of Uranus–Neptune midpoint
2026B_U_N_P_V_Merc_S,2026-09-17,2026-09-17T18:19:39,F45_D_Mercury-Neptune-Pluto-Saturn-Uranus-Venus,directed,Uranus,"Uranus,Neptune,Pluto,Venus,Mercury,Saturn","-62.448372,-122.424146,148.641453,125.844260,-53.090142",Outer Venus scaffold plus Mercury/Saturn diameter
2026B_FULL8,2026-09-17,2026-09-17T18:19:39,F62_D_Jupiter-Mars-Mercury-Neptune-Pluto-Saturn-Uranus-Venus,directed,Pluto,"Mercury,Venus,Mars,Jupiter,Saturn,Uranus,Neptune,Pluto","-111.731593,-88.934401,170.556752,-166.143684,69.334004,122.424146,59.975774",Whole eight-planet assembly
