rank,start_date,end_date,duration_days,peak_date,peak_k0001,peak_k001,peak_k01,peak_omega,components_json
11,0898-03-26T12:00:00Z,0898-04-11T12:00:00Z,17,0898-04-01T12:00:00Z,1,2,2,3.452287435531616,"[{""component_p"":9.461300214752555e-05,""best_module_id"":""m037"",""best_module_label"":""Mercury\u2013Neptune\u2013Mars midpoint"",""families"":[""f10_1978_dec11""],""module_ids"":[""m037""],""bodies"":[""Mercury"",""Neptune"",""Mars""]},{""component_p"":0.0003730455646291375,""best_module_id"":""m062"",""best_module_label"":""Apr 17 Mercury\u2013Jupiter\u2013Venus 30/60/90"",""families"":[""f15_1918_spring""],""module_ids"":[""m062""],""bodies"":[""Mercury"",""Jupiter"",""Venus""]}]"
12,1244-07-27T12:00:00Z,1244-08-05T12:00:00Z,10,1244-07-31T12:00:00Z,1,2,2,3.4404900074005127,"[{""component_p"":3.784520231420174e-05,""best_module_id"":""m050"",""best_module_label"":""Mercury\u2013Jupiter\u2013Venus 20/20/40 planet rail"",""families"":[""f13_1947_nov29""],""module_ids"":[""m050""],""bodies"":[""Mercury"",""Jupiter"",""Venus""]},{""component_p"":0.0009582946076989174,""best_module_id"":""m035"",""best_module_label"":""Jupiter\u2013Saturn\u2013Pluto midpoint"",""families"":[""f10_1978_dec11""],""module_ids"":[""m035""],""bodies"":[""Jupiter"",""Saturn"",""Pluto""]}]"
13,0131-09-19T12:00:00Z,0131-10-09T12:00:00Z,21,0131-09-28T12:00:00Z,1,2,2,3.4340624809265137,"[{""component_p"":6.217425834620371e-05,""best_module_id"":""m021"",""best_module_label"":""Mercury\u2013Venus\u2013Mars triple node"",""families"":[""f07_2008_sep15""],""module_ids"":[""m021""],""bodies"":[""Mercury"",""Venus"",""Mars""]},{""component_p"":0.0005920070689171553,""best_module_id"":""m070"",""best_module_label"":""Neptune\u2013Uranus/Venus double-node bridge"",""families"":[""f16_2020_mar11""],""module_ids"":[""m070""],""bodies"":[""Neptune"",""Uranus"",""Venus""]}]"
14,0703-01-02T12:00:00Z,0703-01-19T12:00:00Z,18,0703-01-16T12:00:00Z,1,2,2,3.4327280521392822,"[{""component_p"":6.35258766124025e-05,""best_module_id"":""m064"",""best_module_label"":""May 22 Venus\u2013Jupiter\u2013Mars triad"",""families"":[""f15_1918_spring""],""module_ids"":[""m064""],""bodies"":[""Venus"",""Jupiter"",""Mars""]},{""component_p"":0.0005811941809952259,""best_module_id"":""m031"",""best_module_label"":""Venus\u2013Uranus opposition gate"",""families"":[""f09_1914_jun28""],""module_ids"":[""m031""],""bodies"":[""Venus"",""Uranus""]}]"
15,0463-07-30T12:00:00Z,0463-07-31T12:00:00Z,2,0463-07-30T12:00:00Z,1,2,2,3.3276522159576416,"[{""component_p"":8.244847413152456e-05,""best_module_id"":""m005"",""best_module_label"":""Mercury\u2013Saturn near-diameter"",""families"":[""f02_2026_sep17""],""module_ids"":[""m005""],""bodies"":[""Mercury"",""Saturn""]},{""component_p"":0.0005703812348656356,""best_module_id"":""m062"",""best_module_label"":""Apr 17 Mercury\u2013Jupiter\u2013Venus 30/60/90"",""families"":[""f15_1918_spring""],""module_ids"":[""m062""],""bodies"":[""Mercury"",""Jupiter"",""Venus""]}]"
16,1293-10-13T12:00:00Z,1293-10-13T12:00:00Z,1,1293-10-13T12:00:00Z,1,2,2,3.270819664001465,"[{""component_p"":8.244847413152456e-05,""best_module_id"":""m008"",""best_module_label"":""Mercury\u2013Venus double node"",""families"":[""f03_2026_feb28""],""module_ids"":[""m008""],""bodies"":[""Mercury"",""Venus""]},{""component_p"":0.0006501264870166779,""best_module_id"":""m037"",""best_module_label"":""Mercury\u2013Neptune\u2013Mars midpoint"",""families"":[""f10_1978_dec11""],""module_ids"":[""m037""],""bodies"":[""Mercury"",""Neptune"",""Mars""]}]"
17,1180-01-28T12:00:00Z,1180-02-18T12:00:00Z,22,1180-02-07T12:00:00Z,1,2,2,3.1870274543762207,"[{""component_p"":7.433879363816231e-05,""best_module_id"":""m010"",""best_module_label"":""Venus\u2013Mars\u2013Pluto 60/90/150 triad"",""families"":[""f04_2023_oct07""],""module_ids"":[""m010""],""bodies"":[""Venus"",""Mars"",""Pluto""]},{""component_p"":0.0008744944934733212,""best_module_id"":""m001"",""best_module_label"":""Saturn\u2013Mars\u2013Jupiter\u2013Mercury lattice"",""families"":[""f01_2026_sep01""],""module_ids"":[""m001""],""bodies"":[""Saturn"",""Mars"",""Jupiter"",""Mercury""]}]"
18,0081-04-27T12:00:00Z,0081-05-20T12:00:00Z,24,0081-05-06T12:00:00Z,1,1,4,3.784026861190796,"[{""component_p"":1.7570986528880894e-05,""best_module_id"":""m048"",""best_module_label"":""Pluto\u2013Saturn\u2013Mars midpoint"",""families"":[""f13_1947_nov29""],""module_ids"":[""m048""],""bodies"":[""Pluto"",""Saturn"",""Mars""]},{""component_p"":0.003185755107551813,""best_module_id"":""m062"",""best_module_label"":""Apr 17 Mercury\u2013Jupiter\u2013Venus 30/60/90"",""families"":[""f15_1918_spring""],""module_ids"":[""m062""],""bodies"":[""Mercury"",""Jupiter"",""Venus""]},{""component_p"":0.00354933924973011,""best_module_id"":""m032"",""best_module_label"":""Jupiter\u2013Saturn 120 channel"",""families"":[""f09_1914_jun28""],""module_ids"":[""m032""],""bodies"":[""Jupiter"",""Saturn""]},{""component_p"":0.008275934495031834,""best_module_id"":""m070"",""best_module_label"":""Neptune\u2013Uranus/Venus double-node bridge"",""families"":[""f16_2020_mar11""],""module_ids"":[""m070""],""bodies"":[""Neptune"",""Uranus"",""Venus""]}]"
19,1559-12-18T12:00:00Z,1559-12-30T12:00:00Z,13,1559-12-30T12:00:00Z,1,1,4,3.415329694747925,"[{""component_p"":6.7580717768578324e-06,""best_module_id"":""m008"",""best_module_label"":""Mercury\u2013Venus double node"",""families"":[""f03_2026_feb28""],""module_ids"":[""m008""],""bodies"":[""Mercury"",""Venus""]},{""component_p"":0.005874115973711014,""best_module_id"":""m066"",""best_module_label"":""May 28 Venus equidistant Jupiter/Uranus"",""families"":[""f15_1918_spring""],""module_ids"":[""m066""],""bodies"":[""Venus"",""Jupiter"",""Uranus""]},{""component_p"":0.009810017421841621,""best_module_id"":""m003"",""best_module_label"":""Neptune bridge into Saturn and inner ladder"",""families"":[""f01_2026_sep01""],""module_ids"":[""m003""],""bodies"":[""Neptune"",""Saturn"",""Mars"",""Jupiter"",""Mercury""]},{""component_p"":0.0098681366071105,""best_module_id"":""m026"",""best_module_label"":""Pluto\u2013Mercury\u2013Uranus 60+60=120"",""families"":[""f08_1775_apr19""],""module_ids"":[""m026""],""bodies"":[""Pluto"",""Mercury"",""Uranus""]}]"
20,0913-05-19T12:00:00Z,0913-06-16T12:00:00Z,29,0913-05-23T12:00:00Z,1,1,3,3.652298927307129,"[{""component_p"":5.406457603385206e-06,""best_module_id"":""m048"",""best_module_label"":""Pluto\u2013Saturn\u2013Mars midpoint"",""families"":[""f13_1947_nov29""],""module_ids"":[""m048""],""bodies"":[""Pluto"",""Saturn"",""Mars""]},{""component_p"":0.005236153956502676,""best_module_id"":""m037"",""best_module_label"":""Mercury\u2013Neptune\u2013Mars midpoint"",""families"":[""f10_1978_dec11""],""module_ids"":[""m037""],""bodies"":[""Mercury"",""Neptune"",""Mars""]},{""component_p"":0.007866395637392998,""best_module_id"":""m009"",""best_module_label"":""Neptune\u2013Saturn double node"",""families"":[""f03_2026_feb28""],""module_ids"":[""m009""],""bodies"":[""Neptune"",""Saturn""]}]"
21,1972-11-04T12:00:00Z,1972-11-25T12:00:00Z,22,1972-11-04T12:00:00Z,1,1,3,3.349780797958374,"[{""component_p"":5.406457603385206e-06,""best_module_id"":""m062"",""best_module_label"":""Apr 17 Mercury\u2013Jupiter\u2013Venus 30/60/90"",""families"":[""f15_1918_spring""],""module_ids"":[""m062""],""bodies"":[""Mercury"",""Jupiter"",""Venus""]},{""component_p"":0.008527334779500961,""best_module_id"":""m070"",""best_module_label"":""Neptune\u2013Uranus/Venus double-node bridge"",""families"":[""f16_2020_mar11""],""module_ids"":[""m070""],""bodies"":[""Neptune"",""Uranus"",""Venus""]},{""component_p"":0.009693778119981289,""best_module_id"":""m027"",""best_module_label"":""Mercury\u2013Uranus\u2013Saturn 60+120=180"",""families"":[""f08_1775_apr19""],""module_ids"":[""m027""],""bodies"":[""Mercury"",""Uranus"",""Saturn""]}]"
22,1989-05-28T12:00:00Z,1989-06-21T12:00:00Z,25,1989-06-08T12:00:00Z,1,1,3,3.2633116245269775,"[{""component_p"":3.514197305776179e-05,""best_module_id"":""m009"",""best_module_label"":""Neptune\u2013Saturn double node"",""families"":[""f03_2026_feb28""],""module_ids"":[""m009""],""bodies"":[""Neptune"",""Saturn""]},{""component_p"":0.002762699732556939,""best_module_id"":""m050"",""best_module_label"":""Mercury\u2013Jupiter\u2013Venus 20/20/40 planet rail"",""families"":[""f13_1947_nov29""],""module_ids"":[""m050""],""bodies"":[""Mercury"",""Jupiter"",""Venus""]},{""component_p"":0.005617309361696243,""best_module_id"":""m031"",""best_module_label"":""Venus\u2013Uranus opposition gate"",""families"":[""f09_1914_jun28""],""module_ids"":[""m031""],""bodies"":[""Venus"",""Uranus""]}]"
23,0941-12-11T12:00:00Z,0941-12-19T12:00:00Z,9,0941-12-14T12:00:00Z,1,1,3,3.163728713989258,"[{""component_p"":2.8383901735651307e-05,""best_module_id"":""m032"",""best_module_label"":""Jupiter\u2013Saturn 120 channel"",""families"":[""f09_1914_jun28""],""module_ids"":[""m032""],""bodies"":[""Jupiter"",""Saturn""]},{""component_p"":0.003746675094589591,""best_module_id"":""m010"",""best_module_label"":""Venus\u2013Mars\u2013Pluto 60/90/150 triad"",""families"":[""f04_2023_oct07""],""module_ids"":[""m010""],""bodies"":[""Venus"",""Mars"",""Pluto""]},{""component_p"":0.006449903827160597,""best_module_id"":""m043"",""best_module_label"":""Uranus opposite Mercury/Venus gate"",""families"":[""f12_1929_oct24""],""module_ids"":[""m043""],""bodies"":[""Uranus"",""Mercury"",""Venus""]}]"
24,1659-11-26T12:00:00Z,1659-12-11T12:00:00Z,16,1659-12-03T12:00:00Z,1,1,3,3.0421533584594727,"[{""component_p"":3.2438743801321834e-05,""best_module_id"":""m008"",""best_module_label"":""Mercury\u2013Venus double node"",""families"":[""f03_2026_feb28""],""module_ids"":[""m008""],""bodies"":[""Mercury"",""Venus""]},{""component_p"":0.004445459693670273,""best_module_id"":""m069"",""best_module_label"":""Saturn\u2013Mercury\u2013Neptune 30/20/50 rail"",""families"":[""f16_2020_mar11""],""module_ids"":[""m069""],""bodies"":[""Saturn"",""Mercury"",""Neptune""]},{""component_p"":0.006293116603046656,""best_module_id"":""m067"",""best_module_label"":""May 28 Mars/Jupiter plus Venus/Jupiter/Uranus"",""families"":[""f15_1918_spring""],""module_ids"":[""m067""],""bodies"":[""Mars"",""Jupiter"",""Venus"",""Uranus""]}]"
25,1953-08-06T12:00:00Z,1953-08-28T12:00:00Z,23,1953-08-25T12:00:00Z,1,1,3,2.2627718448638916,"[{""component_p"":9.190978016704321e-05,""best_module_id"":""m060"",""best_module_label"":""Apr 5 Venus\u2013Uranus double node"",""families"":[""f15_1918_spring""],""module_ids"":[""m060""],""bodies"":[""Venus"",""Uranus""]},{""component_p"":0.007268982008099556,""best_module_id"":""m009"",""best_module_label"":""Neptune\u2013Saturn double node"",""families"":[""f03_2026_feb28""],""module_ids"":[""m009""],""bodies"":[""Neptune"",""Saturn""]},{""component_p"":0.00817321240901947,""best_module_id"":""m032"",""best_module_label"":""Jupiter\u2013Saturn 120 channel"",""families"":[""f09_1914_jun28""],""module_ids"":[""m032""],""bodies"":[""Jupiter"",""Saturn""]}]"
26,1306-12-31T12:00:00Z,1307-01-20T12:00:00Z,21,1307-01-08T12:00:00Z,1,1,2,4.687528133392334,"[{""component_p"":1.3516144008463016e-06,""best_module_id"":""m009"",""best_module_label"":""Neptune\u2013Saturn double node"",""families"":[""f03_2026_feb28""],""module_ids"":[""m009""],""bodies"":[""Neptune"",""Saturn""]},{""component_p"":0.0015192145947366953,""best_module_id"":""m062"",""best_module_label"":""Apr 17 Mercury\u2013Jupiter\u2013Venus 30/60/90"",""families"":[""f15_1918_spring""],""module_ids"":[""m062""],""bodies"":[""Mercury"",""Jupiter"",""Venus""]}]"
27,1408-06-26T12:00:00Z,1408-07-06T12:00:00Z,11,1408-07-01T12:00:00Z,1,1,2,4.187088489532471,"[{""component_p"":2.703228801692603e-06,""best_module_id"":""m050"",""best_module_label"":""Mercury\u2013Jupiter\u2013Venus 20/20/40 planet rail"",""families"":[""f13_1947_nov29""],""module_ids"":[""m050""],""bodies"":[""Mercury"",""Jupiter"",""Venus""]},{""component_p"":0.002404521917924285,""best_module_id"":""m030"",""best_module_label"":""Pluto\u2013Neptune/Mercury\u2013Mars 0/30/60 core"",""families"":[""f09_1914_jun28""],""module_ids"":[""m030""],""bodies"":[""Pluto"",""Neptune"",""Mercury"",""Mars""]}]"
28,1809-04-05T12:00:00Z,1809-04-10T12:00:00Z,6,1809-04-07T12:00:00Z,1,1,2,3.983182191848755,"[{""component_p"":6.7580717768578324e-06,""best_module_id"":""m061"",""best_module_label"":""Apr 5 Saturn\u2013Neptune double node"",""families"":[""f15_1918_spring""],""module_ids"":[""m061""],""bodies"":[""Saturn"",""Neptune""]},{""component_p"":0.0015381372068077326,""best_module_id"":""m032"",""best_module_label"":""Jupiter\u2013Saturn 120 channel"",""families"":[""f09_1914_jun28""],""module_ids"":[""m032""],""bodies"":[""Jupiter"",""Saturn""]}]"
29,0776-04-04T12:00:00Z,0776-04-10T12:00:00Z,7,0776-04-07T12:00:00Z,1,1,2,3.9417200088500977,"[{""component_p"":5.406457603385206e-06,""best_module_id"":""m032"",""best_module_label"":""Jupiter\u2013Saturn 120 channel"",""families"":[""f09_1914_jun28""],""module_ids"":[""m032""],""bodies"":[""Jupiter"",""Saturn""]},{""component_p"":0.0021152764093130827,""best_module_id"":""m062"",""best_module_label"":""Apr 17 Mercury\u2013Jupiter\u2013Venus 30/60/90"",""families"":[""f15_1918_spring""],""module_ids"":[""m062""],""bodies"":[""Mercury"",""Jupiter"",""Venus""]}]"
30,0662-08-24T12:00:00Z,0662-09-03T12:00:00Z,11,0662-08-30T12:00:00Z,1,1,2,3.8338494300842285,"[{""component_p"":6.7580717768578324e-06,""best_module_id"":""m009"",""best_module_label"":""Neptune\u2013Saturn double node"",""families"":[""f03_2026_feb28""],""module_ids"":[""m009""],""bodies"":[""Neptune"",""Saturn""]},{""component_p"":0.002169341081753373,""best_module_id"":""m032"",""best_module_label"":""Jupiter\u2013Saturn 120 channel"",""families"":[""f09_1914_jun28""],""module_ids"":[""m032""],""bodies"":[""Jupiter"",""Saturn""]}]"
31,1103-07-07T12:00:00Z,1103-07-28T12:00:00Z,22,1103-07-22T12:00:00Z,1,1,2,3.7217624187469482,"[{""component_p"":9.461300578550436e-06,""best_module_id"":""m037"",""best_module_label"":""Mercury\u2013Neptune\u2013Mars midpoint"",""families"":[""f10_1978_dec11""],""module_ids"":[""m037""],""bodies"":[""Mercury"",""Neptune"",""Mars""]},{""component_p"":0.0020057957153767347,""best_module_id"":""m066"",""best_module_label"":""May 28 Venus equidistant Jupiter/Uranus"",""families"":[""f15_1918_spring""],""module_ids"":[""m066""],""bodies"":[""Venus"",""Jupiter"",""Uranus""]}]"
32,0993-03-18T12:00:00Z,0993-04-07T12:00:00Z,21,0993-03-28T12:00:00Z,1,1,2,3.600940227508545,"[{""component_p"":6.7580717768578324e-06,""best_module_id"":""m066"",""best_module_label"":""May 28 Venus equidistant Jupiter/Uranus"",""families"":[""f15_1918_spring""],""module_ids"":[""m066""],""bodies"":[""Venus"",""Jupiter"",""Uranus""]},{""component_p"":0.0037088298704475164,""best_module_id"":""m011"",""best_module_label"":""Pluto\u2013Neptune\u2013Uranus 60/60/120 triad"",""families"":[""f01_2026_sep01"",""f04_2023_oct07""],""module_ids"":[""m002"",""m011""],""bodies"":[""Pluto"",""Neptune"",""Uranus""]}]"
33,1200-06-17T12:00:00Z,1200-07-29T12:00:00Z,43,1200-06-30T12:00:00Z,1,1,2,3.525707244873047,"[{""component_p"":6.7580717768578324e-06,""best_module_id"":""m032"",""best_module_label"":""Jupiter\u2013Saturn 120 channel"",""families"":[""f09_1914_jun28""],""module_ids"":[""m032""],""bodies"":[""Jupiter"",""Saturn""]},{""component_p"":0.00441031763330102,""best_module_id"":""m009"",""best_module_label"":""Neptune\u2013Saturn double node"",""families"":[""f03_2026_feb28""],""module_ids"":[""m009""],""bodies"":[""Neptune"",""Saturn""]}]"
34,1486-05-24T12:00:00Z,1486-05-25T12:00:00Z,2,1486-05-24T12:00:00Z,1,1,2,3.5120553970336914,"[{""component_p"":4.054842975165229e-06,""best_module_id"":""m005"",""best_module_label"":""Mercury\u2013Saturn near-diameter"",""families"":[""f02_2026_sep17""],""module_ids"":[""m005""],""bodies"":[""Mercury"",""Saturn""]},{""component_p"":0.00758525962010026,""best_module_id"":""m031"",""best_module_label"":""Venus\u2013Uranus opposition gate"",""families"":[""f09_1914_jun28""],""module_ids"":[""m031""],""bodies"":[""Venus"",""Uranus""]}]"
35,0638-08-09T12:00:00Z,0638-08-10T12:00:00Z,2,0638-08-10T12:00:00Z,1,1,2,3.5014548301696777,"[{""component_p"":2.5680672479211353e-05,""best_module_id"":""m005"",""best_module_label"":""Mercury\u2013Saturn near-diameter"",""families"":[""f02_2026_sep17""],""module_ids"":[""m005""],""bodies"":[""Mercury"",""Saturn""]},{""component_p"":0.0012272658059373498,""best_module_id"":""m066"",""best_module_label"":""May 28 Venus equidistant Jupiter/Uranus"",""families"":[""f15_1918_spring""],""module_ids"":[""m066""],""bodies"":[""Venus"",""Jupiter"",""Uranus""]}]"
36,0322-09-08T12:00:00Z,0322-09-10T12:00:00Z,3,0322-09-09T12:00:00Z,1,1,2,3.39346981048584,"[{""component_p"":1.2164528925495688e-05,""best_module_id"":""m031"",""best_module_label"":""Venus\u2013Uranus opposition gate"",""families"":[""f09_1914_jun28""],""module_ids"":[""m031""],""bodies"":[""Venus"",""Uranus""]},{""component_p"":0.0033222681377083063,""best_module_id"":""m062"",""best_module_label"":""Apr 17 Mercury\u2013Jupiter\u2013Venus 30/60/90"",""families"":[""f15_1918_spring""],""module_ids"":[""m062""],""bodies"":[""Mercury"",""Jupiter"",""Venus""]}]"
37,1887-07-16T12:00:00Z,1887-07-25T12:00:00Z,10,1887-07-22T12:00:00Z,1,1,2,3.3626673221588135,"[{""component_p"":5.406457603385206e-06,""best_module_id"":""m026"",""best_module_label"":""Pluto\u2013Mercury\u2013Uranus 60+60=120"",""families"":[""f08_1775_apr19""],""module_ids"":[""m026""],""bodies"":[""Pluto"",""Mercury"",""Uranus""]},{""component_p"":0.008024534210562706,""best_module_id"":""m017"",""best_module_label"":""Jupiter\u2013Venus\u2013Mercury\u2013Mars 0/30/60/90 ladder"",""families"":[""f06_2025_sep10""],""module_ids"":[""m017""],""bodies"":[""Jupiter"",""Venus"",""Mercury"",""Mars""]}]"
38,1764-11-20T12:00:00Z,1764-11-20T12:00:00Z,1,1764-11-20T12:00:00Z,1,1,2,3.362630844116211,"[{""component_p"":6.7580717768578324e-06,""best_module_id"":""m049"",""best_module_label"":""Mars\u2013Venus\u2013Uranus 60/120/180 gate"",""families"":[""f13_1947_nov29""],""module_ids"":[""m049""],""bodies"":[""Mars"",""Venus"",""Uranus""]},{""component_p"":0.0064201680943369865,""best_module_id"":""m005"",""best_module_label"":""Mercury\u2013Saturn near-diameter"",""families"":[""f02_2026_sep17""],""module_ids"":[""m005""],""bodies"":[""Mercury"",""Saturn""]}]"
39,0612-01-31T12:00:00Z,0612-02-21T12:00:00Z,22,0612-02-15T12:00:00Z,1,1,2,3.3596785068511963,"[{""component_p"":1.892260115710087e-05,""best_module_id"":""m062"",""best_module_label"":""Apr 17 Mercury\u2013Jupiter\u2013Venus 30/60/90"",""families"":[""f15_1918_spring""],""module_ids"":[""m062""],""bodies"":[""Mercury"",""Jupiter"",""Venus""]},{""component_p"":0.0023085572756826878,""best_module_id"":""m068"",""best_module_label"":""Mars\u2013Jupiter\u2013Pluto\u2013Saturn symmetric compression"",""families"":[""f16_2020_mar11""],""module_ids"":[""m068""],""bodies"":[""Mars"",""Jupiter"",""Pluto"",""Saturn""]}]"
