case_id,rtc_id,rtc_uuid,episode_count,first_timestamp,last_timestamp,rtc_rule_episode_count,ao30_episode_count,observed_span_seconds
fifteenth_share,rtc_aaf2f13996ae457f948d93fbfe9b2b90,f3d117db-50c2-4633-a59e-75d888e8fc99,31,2026-08-10 09:47:48.900814+00:00,2026-08-10 10:18:00.447492+00:00,0,0,1811.546678
fifth_share,rtc_98d23dbdc5e9448a84bb1a1e0a96a85e,3befe716-0953-4bc5-aacc-693941df9942,19,2026-08-16 13:02:53.800309+00:00,2026-08-16 13:24:37.838698+00:00,1,0,1304.038389
fifth_share,rtc_c69b631e49cc49e78fc3df096a861b2e,eb4c9569-f071-43ab-96c1-79d8d846bafa,88,2026-08-16 13:28:24.672916+00:00,2026-08-16 15:21:29.458004+00:00,1,1,6784.785088
fifth_share,rtc_9fdd9b27759d4046820f6077cdee2ef9,7a855b6b-274c-4bcf-838a-7a47ee4fd108,38,2026-08-16 15:32:40.911833+00:00,2026-08-16 17:08:28.185706+00:00,0,2,5747.273873
first_share,rtc_31d6da310ab8459c9ce8d45fed849099,2759271f-2a51-4fcd-bd33-ef860d7a0a5f,73,2026-08-17 22:10:19.233101+00:00,2026-08-17 23:29:27.763938+00:00,1,1,4748.530837
first_share,rtc_1660c7154ebf49d7bc24283692d4a5df,8fe3cb48-ee57-454c-ae8e-01b3735d1834,74,2026-08-17 23:36:10.868994+00:00,2026-08-18 01:22:14.617690+00:00,0,1,6363.748696
fourteenth_share,rtc_c5cd4a101002403b9bb6b886873c1480,e3b68c3e-dd8a-446c-aca0-0854a5110204,101,2026-08-08 12:06:14.466051+00:00,2026-08-08 13:26:30.422610+00:00,0,0,4815.956559
fourth_share,rtc_899ff77131ce4921a0aea407dcf550d9,627cd0b0-69fc-40be-81e0-8916e85b116c,109,2026-08-16 19:35:03.355719+00:00,2026-08-16 21:34:29.277079+00:00,1,1,7165.92136
fourth_share,rtc_eb5ccf104c6d4a139e00556fd39f70d7,be054727-bbdb-4163-80de-a89fb729c9ff,23,2026-08-16 21:37:39.806227+00:00,2026-08-16 22:00:57.085841+00:00,1,0,1397.279614
fourth_share,rtc_cda956e9caa04769a2d0794a8e773c8d,ce6d6c62-2c2f-4e2f-82ae-dcadd78bd589,129,2026-08-16 22:09:09.110191+00:00,2026-08-17 00:07:09.521505+00:00,0,1,7080.411314
nineteenth_share,rtc_b36767717f0c4dfc94b3263257513824,92d5db35-79fd-4c43-a1c2-9d57fd6b05ec,28,2026-08-12 16:07:27.311829+00:00,2026-08-12 17:11:04.545715+00:00,0,1,3817.233886
ninth_share,rtc_692ada2ea5ca4365982d0fd459e01ca7,c66bb007-f8c4-4a94-9f83-547676deff0f,18,2026-08-13 03:14:25.026963+00:00,2026-08-13 03:34:05.666741+00:00,1,0,1180.639778
ninth_share,rtc_95f0b049c0d949209977b2b36d4458ea,01e363d6-ed57-4b82-9d40-18798060462a,89,2026-08-13 03:37:59.356025+00:00,2026-08-13 05:06:38.984089+00:00,1,0,5319.628064
ninth_share,rtc_234425f82f5249e1b16bf7f1d916bec6,55322d3e-bf75-4952-b14b-4583444396ef,18,2026-08-13 05:16:14.485451+00:00,2026-08-13 05:38:39.702125+00:00,0,0,1345.216674
office_metaphor,rtc_d74aa50c85f74a8aa72675ddc16526aa,591ff9b1-9d07-408d-8146-dc767addb93b,108,2026-08-14 01:49:05.968650+00:00,2026-08-14 03:35:34.044282+00:00,1,1,6388.075632
office_metaphor,rtc_7eabf3e1c64140359287857e5f8059af,bb205e8d-6155-473b-b7a0-64904105c91c,34,2026-08-14 03:39:34.152565+00:00,2026-08-14 04:01:08.239282+00:00,0,0,1294.086717
seventeenth_share,rtc_5057a29e01fc4067b1088d396a142a5a,efbbfce2-fe9a-4fb7-96ff-18c5717914bc,4,2026-08-14 20:44:53.120088+00:00,2026-08-14 21:01:05.183316+00:00,1,1,972.063228
seventeenth_share,rtc_297e8b9bcdb64ba2ab24f9ca4c2eda68,81a2cd31-3e39-4ff5-ba14-a402e4efacfd,13,2026-08-14 21:08:31.660833+00:00,2026-08-14 21:21:39.273032+00:00,0,0,787.612199
seventeenth_share,rtc_baa49c6814694d55ba4bd7c5ae618c1a,dd7a3dbb-10d9-48a2-8089-afa1374ef94e,4,2026-08-14 21:23:41.497376+00:00,2026-08-14 21:25:32.795810+00:00,1,0,111.298434
seventeenth_share,rtc_4a4887ae84ec4ed69df5ee50c742191d,0f023a35-a219-4a70-96fc-6eba30369688,83,2026-08-14 21:25:55.777647+00:00,2026-08-14 23:00:54.036251+00:00,2,0,5698.258604
seventeenth_share,rtc_c605a2fe0cb3477f9098624a35c113c2,d98c3bdd-9d6c-4bf8-a4ec-2dd456952ef1,10,2026-08-14 23:07:39.349340+00:00,2026-08-14 23:20:31.818397+00:00,1,1,772.469057
seventeenth_share,rtc_96329b7b24bb411fb1f3d078a4d41a99,a1d9e9c7-41b1-4dbf-b94d-9490c78190a5,1,2026-08-14 23:24:22.473794+00:00,2026-08-14 23:24:22.473794+00:00,0,0,0.0
seventh_share,rtc_1c504186e21c4dc38c153b372421c9c5,f320b30d-7d89-4adb-8ccf-9843e7751ecd,53,2026-08-15 11:34:29.054008+00:00,2026-08-15 12:22:59.060226+00:00,1,0,2910.006218
seventh_share,rtc_f607bb5acc5b485eaed6b195c99959b1,3acc5444-d49d-4ee2-80b6-e6cf13f48673,34,2026-08-15 12:29:15.214113+00:00,2026-08-15 12:58:12.772149+00:00,1,1,1737.558036
seventh_share,rtc_ab4678bee15b4276baf1124375c8e031,fa38c3ee-ff7d-4f2d-91ee-5ebede8df1bf,2,2026-08-15 13:03:38.365596+00:00,2026-08-15 13:04:29.015845+00:00,1,0,50.650249
seventh_share,rtc_6a22953b2d324c459eeffcfc966580f3,66672d68-eb3a-423c-912a-60903ca5e54d,4,2026-08-15 13:08:47.059195+00:00,2026-08-15 13:11:42.653264+00:00,1,0,175.594069
seventh_share,rtc_bc92acddd2bb4b78a0d8801126157f44,618d063c-7519-4078-a274-bb320a2a39ca,12,2026-08-15 13:12:50.773747+00:00,2026-08-15 13:19:22.321781+00:00,1,0,391.548034
seventh_share,rtc_b4716960dd144c349161d83fd1dee7e9,af2dd43c-089f-4af0-b0fc-86f60abaaad2,78,2026-08-15 13:21:18.023598+00:00,2026-08-15 14:12:13.775732+00:00,1,1,3055.752134
seventh_share,rtc_d76a7459513844cfb7e191829e1a19d9,46ca0fec-43d9-4519-b885-6b71cfd7aba1,93,2026-08-15 14:20:49.485477+00:00,2026-08-15 16:19:00.211698+00:00,1,3,7090.726221
seventh_share,rtc_949c126f53694242b25b8372cb85ad15,27a2abd4-e822-4ee5-aa05-2da7c37d40e0,2,2026-08-15 16:23:34.159773+00:00,2026-08-15 17:04:54.004526+00:00,1,2,2479.844753
seventh_share,rtc_82044b89e0ba40a8a44836d066980909,2926e79a-7012-485d-b255-f27621f44152,22,2026-08-15 17:14:39.993645+00:00,2026-08-15 17:34:28.634088+00:00,1,1,1188.640443
seventh_share,rtc_6dca91c6057f4602af8e43b2b3e06c99,258ba58e-1bdd-4701-aef7-605d23fcea85,117,2026-08-15 17:47:12.178849+00:00,2026-08-15 19:39:25.885060+00:00,0,0,6733.706211
sixteenth_share,rtc_5aa42bc023554ee7a34bfab5b5d1021d,3fc84e28-746d-4e5f-865b-f85f7c73de2f,49,2026-08-10 16:36:53.579978+00:00,2026-08-10 17:23:21.321432+00:00,1,1,2787.741454
sixth_share,rtc_a1b5c7e90d2947458d828d466500e881,d2491a11-df12-4e89-ba60-962dc98d8300,110,2026-08-17 00:12:48.929024+00:00,2026-08-17 02:04:06.278447+00:00,1,1,6677.349423
sixth_share,rtc_e6e278f0c59840bca948b24a8d20fb6d,fb276836-f274-4671-9c1e-db7190590218,13,2026-08-17 02:14:54.857247+00:00,2026-08-17 02:26:31.922541+00:00,0,1,697.065294
tenth_share,rtc_efbb02e4d1754363871a5f47a925a82e,22809b45-318f-4fb1-b46d-7b60b56398be,4,2026-08-14 23:25:34.019456+00:00,2026-08-14 23:27:49.619289+00:00,1,0,135.599833
tenth_share,rtc_b5f776390f43443e88b0e2046b773a41,fe65c1a3-aa54-44b1-9d39-cfa45cb84ff8,81,2026-08-14 23:29:35.363889+00:00,2026-08-15 00:53:54.895701+00:00,0,0,5059.531812
test4,rtc_d305d6313f9a4266be6da78e277c6c8c,346a5a0b-2e8c-4a6f-995e-f295e0dce039,48,2026-08-13 20:46:51.955573+00:00,2026-08-13 21:46:45.349625+00:00,1,1,3593.394052
test4,rtc_534ed01ea6fc495a8407452be3bc6d85,1c682c9b-9ccc-49cc-bdd3-2666f0ebe1e0,105,2026-08-13 21:49:51.777028+00:00,2026-08-13 23:45:51.989705+00:00,0,0,6960.212677
third_share,rtc_68838024da8a4cd7aeac72f32270895b,1e2beeed-35c7-4e21-9fd1-5d277bc80c26,135,2026-08-18 03:21:47.162916+00:00,2026-08-18 05:18:53.379340+00:00,1,1,7026.216424
third_share,rtc_5c2b05a7b14c4312ac8468375f689ee5,a0028bc6-ecdc-4787-a009-3b7ca1e4b3ec,39,2026-08-18 05:22:21.579916+00:00,2026-08-18 05:54:24.099252+00:00,0,0,1922.519336
thirteenth_share,rtc_d3e9a9fe507b48ec92266f26841b0490,c1b4e38f-3c95-4181-b541-cafe2bf954b9,96,2026-08-05 10:12:52.267701+00:00,2026-08-05 11:23:02.029064+00:00,0,1,4209.761363
twelfth_share,rtc_76adff5ae1ac48d58384f3bbd13c3d47,e11d649e-f054-402b-b066-010e64374d37,1,2026-08-04 16:30:38.365118+00:00,2026-08-04 16:30:38.365118+00:00,1,0,0.0
twelfth_share,rtc_277bf2c5320642b582a68462e103d149,43f71d59-0118-4b54-8bd9-1f112c2e708d,57,2026-08-04 16:40:02.608642+00:00,2026-08-04 17:32:47.647489+00:00,0,1,3165.038847
twentieth_share,rtc_ed45b69c03a648aea04b1ee9f07310e9,ba3942ed-4d26-4bc4-8d13-0479b1a3e09b,22,2026-08-12 17:15:03.550519+00:00,2026-08-12 17:42:39.131582+00:00,1,1,1655.581063
twentieth_share,rtc_353453a5a77e4c46af5af8fb7bb9b63a,a6830805-fcb6-40c7-90e9-04ef5b7b3af5,15,2026-08-12 20:25:04.655857+00:00,2026-08-12 21:26:02.074322+00:00,0,2,3657.418465
twentysecond_share,rtc_3763804f2f784a26b89c1c7d1bdee18b,a7da43f3-3805-4706-9634-88f080eeb2ac,126,2026-08-18 08:20:38.815197+00:00,2026-08-18 10:18:02.287468+00:00,1,0,7043.472271
twentysecond_share,rtc_4ddae641713c4bdcadac02b175175cb0,e0d38259-6ee9-46dd-a4d7-f85a457f906b,108,2026-08-18 10:22:29.439639+00:00,2026-08-18 11:46:52.017965+00:00,0,0,5062.578326
twentythird_share,rtc_4afb8c71de7044a3a7ce60cf5727910f,d8664c19-052c-4290-acac-c4c12170230f,157,2026-08-18 19:02:29.807877+00:00,2026-08-18 20:59:56.287046+00:00,1,0,7046.479169
twentythird_share,rtc_1927e8aa705446fdabe31590307bf3d0,c5f8b818-0372-4aa4-b2e4-d711ec32de2d,6,2026-08-18 21:04:31.302549+00:00,2026-08-18 21:09:53.816007+00:00,0,0,322.513458
