case_id,rtc_id,rtc_uuid,min_node,max_node,episode_count,observed_route_class,observable_route_family,ao30_events,ao30_max_delay_seconds,checking_nodes,work_status_nodes,preamble_nodes,reasoning_recap_nodes,thoughts_nodes,system_nodes,model_editable_context_nodes,visually_hidden_nodes,redacted_nodes,agency_opportunities_mapped,agency_injections,agency_denial_sidecars,agency_injection_rate
fifth_share,rtc_9fdd9b27759d4046820f6077cdee2ef9,7a855b6b-274c-4bcf-838a-7a47ee4fd108,675,887,38,OBSROUTE-8106623f99,preamble+hidden+checking+work_status,2,112.877964,17,15,11,0,0,0,0,6,0,0,0,0,
fourth_share,rtc_cda956e9caa04769a2d0794a8e773c8d,ce6d6c62-2c2f-4e2f-82ae-dcadd78bd589,770,1340,129,OBSROUTE-a29bb5fd89,preamble+hidden+work_status,1,30.816281,0,3,2,0,0,0,0,2,0,2,1,0,0.5
first_share,rtc_1660c7154ebf49d7bc24283692d4a5df,8fe3cb48-ee57-454c-ae8e-01b3735d1834,486,807,74,OBSROUTE-a29bb5fd89,preamble+hidden+work_status,1,408.805522,0,1,1,0,0,0,0,1,0,0,0,0,
sixth_share,rtc_a1b5c7e90d2947458d828d466500e881,d2491a11-df12-4e89-ba60-962dc98d8300,15,570,110,OBSROUTE-553114c217,preamble,1,43.146335,0,0,1,0,0,0,0,0,0,7,0,0,0.0
eleventh_share,rtc_e1adb8a3d2514349814e3b3311f066f9,8c24a98d-84df-4e32-8eac-cbb3a9212dd0,13,347,34,OBSROUTE-77d01b217c,system+hidden+work_status,23,2784.60254,0,1,0,0,0,2,0,2,0,0,0,0,
twentieth_share,rtc_ed45b69c03a648aea04b1ee9f07310e9,ba3942ed-4d26-4bc4-8d13-0479b1a3e09b,23,291,22,OBSROUTE-4d5b3a19e3,model_context+system+hidden,12,535.967339,0,0,0,0,0,2,1,3,1,0,0,0,
eleventh_share,rtc_5d36849729bc41beb973ff099c6378c2,71ba39d8-5e6e-490e-b236-3ec531b00127,348,790,63,OBSROUTE-e6601b7eec,hidden+checking+work_status,11,64.151691,19,8,0,0,0,0,0,4,0,1,0,0,0.0
twelfth_share,rtc_277bf2c5320642b582a68462e103d149,43f71d59-0118-4b54-8bd9-1f112c2e708d,32,379,57,OBSROUTE-c6e8a73c42,checking+work_status,1,31.779084,5,1,0,0,0,0,0,0,0,0,0,0,
first_share,rtc_31d6da310ab8459c9ce8d45fed849099,2759271f-2a51-4fcd-bd33-ef860d7a0a5f,19,485,73,OBSROUTE-8c083c1873,no_exposed_stage_in_AO30,1,30.108355,0,0,0,0,0,0,0,0,0,0,0,0,
nineteenth_share,rtc_b36767717f0c4dfc94b3263257513824,92d5db35-79fd-4c43-a1c2-9d57fd6b05ec,11,402,28,OBSROUTE-8c083c1873,no_exposed_stage_in_AO30,1,56.809554,0,0,0,0,0,0,0,0,0,0,0,0,
sixth_share,rtc_e6e278f0c59840bca948b24a8d20fb6d,fb276836-f274-4671-9c1e-db7190590218,578,643,13,OBSROUTE-8c083c1873,no_exposed_stage_in_AO30,1,38.007439,0,0,0,0,0,0,0,0,0,0,0,0,
third_share,rtc_68838024da8a4cd7aeac72f32270895b,1e2beeed-35c7-4e21-9fd1-5d277bc80c26,14,737,135,OBSROUTE-92614474aa,hidden,1,62.468233,0,0,0,0,0,0,0,1,0,0,0,0,
