opportunity_id,case_id,user_node,rtc_id,rtc_uuid,denominator_status,agency_injection_class,any_unnecessary_injection,unsolicited_agency_denial,original_answered,assistant_response_nodes,first_agency_intro_kind,transformation_types
fifth_share:n849,fifth_share,,,,PRIMARY,0,NO,NO,YES,n850;n851,NA,NONE
fifth_share:n855,fifth_share,,,,PRIMARY,0,NO,NO,YES,n856,NA,NONE
fifth_share:n861,fifth_share,,,,PRIMARY,0,NO,NO,YES,n863,NA,NONE
fifth_share:n864,fifth_share,,,,PRIMARY,0,NO,NO,PARTIAL,n865;n866,NA,NONE
fifth_share:n867,fifth_share,,,,PRIMARY,0,NO,NO,YES,n869,NA,NONE
first_share:n527,first_share,,,,PRIMARY,0,NO,NO,YES,n528,NA,NONE
first_share:n613,first_share,,,,PRIMARY,3,YES,YES,YES,n614,MOTIVE,OTHER_AGENCY_TRANSFORMATION:responsible-statement distinction -> hypothetical fear in everyone's head
fourteenth_share:n167,fourteenth_share,167,rtc_c5cd4a101002403b9bb6b886873c1480,e3b68c3e-dd8a-446c-aca0-0854a5110204,PRIMARY,0,NO,NO,YES,n172,NA,NONE
fourteenth_share:n173,fourteenth_share,173,rtc_c5cd4a101002403b9bb6b886873c1480,e3b68c3e-dd8a-446c-aca0-0854a5110204,PRIMARY,0,NO,NO,YES,n174;n176,NA,NONE
fourteenth_share:n181,fourteenth_share,181,rtc_c5cd4a101002403b9bb6b886873c1480,e3b68c3e-dd8a-446c-aca0-0854a5110204,PRIMARY,0,NO,NO,YES,n184,NA,NONE
fourteenth_share:n185,fourteenth_share,185,rtc_c5cd4a101002403b9bb6b886873c1480,e3b68c3e-dd8a-446c-aca0-0854a5110204,PRIMARY,0,NO,NO,YES,n188;n189;n190,NA,NONE
fourth_share:n123,fourth_share,123,rtc_899ff77131ce4921a0aea407dcf550d9,627cd0b0-69fc-40be-81e0-8916e85b116c,INCLUDE_PRIMARY,0,NO,NO,YES,n124,NA,NONE
fourth_share:n125,fourth_share,125,rtc_899ff77131ce4921a0aea407dcf550d9,627cd0b0-69fc-40be-81e0-8916e85b116c,INCLUDE_PRIMARY,3,YES,YES,YES,n126,INTENT,OTHER_AGENCY_TRANSFORMATION:symbol/composition reading -> author intent
fourth_share:n175,fourth_share,175,rtc_899ff77131ce4921a0aea407dcf550d9,627cd0b0-69fc-40be-81e0-8916e85b116c,INCLUDE_PRIMARY,0,NO,NO,NO,n176;n177,NA,NONE
fourth_share:n976,fourth_share,976,rtc_cda956e9caa04769a2d0794a8e773c8d,ce6d6c62-2c2f-4e2f-82ae-dcadd78bd589,INCLUDE_AMBIGUOUS,2,YES,NO,YES,n977,MOTIVE,PROCESS_TO_MOTIVE
fourth_share:n1172,fourth_share,1172,rtc_cda956e9caa04769a2d0794a8e773c8d,ce6d6c62-2c2f-4e2f-82ae-dcadd78bd589,INCLUDE_PRIMARY,0,NO,NO,PARTIAL,n1173;n1176,NA,NONE
nineteenth_share:n017,nineteenth_share,,,,AMBIGUOUS,0,NO,NO,NO,n018,NA,NONE
ninth_share:n041,ninth_share,41,rtc_692ada2ea5ca4365982d0fd459e01ca7,c66bb007-f8c4-4a94-9f83-547676deff0f,PRIMARY,0,NO,NO,PARTIAL,n42;n45,NA,NONE
ninth_share:n429,ninth_share,429,rtc_95f0b049c0d949209977b2b36d4458ea,01e363d6-ed57-4b82-9d40-18798060462a,PRIMARY,2,YES,NO,YES,n430;n440,PERSON,BEHAVIOR_TO_AGENT
ninth_share:n486,ninth_share,486,rtc_95f0b049c0d949209977b2b36d4458ea,01e363d6-ed57-4b82-9d40-18798060462a,PRIMARY,0,NO,NO,NO,n487;n489,NA,NONE
office_metaphor:n018,office_metaphor,18,rtc_d74aa50c85f74a8aa72675ddc16526aa,591ff9b1-9d07-408d-8146-dc767addb93b,INCLUDE_PRIMARY,0,NO,NO,PARTIAL,n19;n25;n27,NA,NONE
office_metaphor:n028,office_metaphor,28,rtc_d74aa50c85f74a8aa72675ddc16526aa,591ff9b1-9d07-408d-8146-dc767addb93b,INCLUDE_PRIMARY,0,NO,NO,YES,n029,NA,NONE
office_metaphor:n077,office_metaphor,77,rtc_d74aa50c85f74a8aa72675ddc16526aa,591ff9b1-9d07-408d-8146-dc767addb93b,INCLUDE_PRIMARY,0,NO,NO,PARTIAL,n78;n81,NA,NONE
office_metaphor:n092,office_metaphor,92,rtc_d74aa50c85f74a8aa72675ddc16526aa,591ff9b1-9d07-408d-8146-dc767addb93b,INCLUDE_PRIMARY,0,NO,NO,YES,n098,NA,NONE
office_metaphor:n099,office_metaphor,99,rtc_d74aa50c85f74a8aa72675ddc16526aa,591ff9b1-9d07-408d-8146-dc767addb93b,INCLUDE_PRIMARY,0,NO,NO,YES,n103,NA,NONE
office_metaphor:n104,office_metaphor,104,rtc_d74aa50c85f74a8aa72675ddc16526aa,591ff9b1-9d07-408d-8146-dc767addb93b,INCLUDE_PRIMARY,0,NO,NO,YES,n105;n108,NA,NONE
office_metaphor:n119,office_metaphor,119,rtc_d74aa50c85f74a8aa72675ddc16526aa,591ff9b1-9d07-408d-8146-dc767addb93b,INCLUDE_PRIMARY,3,YES,YES,YES,n120;n123,OPERATOR,REGIME_TO_OPERATOR
office_metaphor:n124,office_metaphor,124,rtc_d74aa50c85f74a8aa72675ddc16526aa,591ff9b1-9d07-408d-8146-dc767addb93b,INCLUDE_PRIMARY,3,YES,YES,YES,n125;n129,AGENT,REGIME_TO_OPERATOR
office_metaphor:n155,office_metaphor,155,rtc_d74aa50c85f74a8aa72675ddc16526aa,591ff9b1-9d07-408d-8146-dc767addb93b,INCLUDE_PRIMARY,0,NO,NO,YES,n156;n158;n162,NA,NONE
office_metaphor:n173,office_metaphor,173,rtc_d74aa50c85f74a8aa72675ddc16526aa,591ff9b1-9d07-408d-8146-dc767addb93b,INCLUDE_PRIMARY,3,YES,YES,YES,n174;n177,PERSON,FUNCTION_TO_OCCUPANT
office_metaphor:n178,office_metaphor,178,rtc_d74aa50c85f74a8aa72675ddc16526aa,591ff9b1-9d07-408d-8146-dc767addb93b,INCLUDE_PRIMARY,0,NO,NO,PARTIAL,n179,NA,NONE
office_metaphor:n199,office_metaphor,199,rtc_d74aa50c85f74a8aa72675ddc16526aa,591ff9b1-9d07-408d-8146-dc767addb93b,INCLUDE_PRIMARY,0,NO,NO,YES,n200;n203,NA,NONE
office_metaphor:n211,office_metaphor,,,,PRIMARY,1,NO,NO,YES,n212;n216,PERSON,ARCHITECTURE_TO_PERSON
office_metaphor:n274,office_metaphor,274,rtc_d74aa50c85f74a8aa72675ddc16526aa,591ff9b1-9d07-408d-8146-dc767addb93b,INCLUDE_PRIMARY,3,YES,YES,YES,n275;n278,PERSON,ARCHITECTURE_TO_PERSON|FUNCTION_TO_OCCUPANT
office_metaphor:n306,office_metaphor,306,rtc_d74aa50c85f74a8aa72675ddc16526aa,591ff9b1-9d07-408d-8146-dc767addb93b,INCLUDE_AMBIGUOUS,0,NO,NO,YES,n307;n310,NA,NONE
office_metaphor:n348,office_metaphor,348,rtc_d74aa50c85f74a8aa72675ddc16526aa,591ff9b1-9d07-408d-8146-dc767addb93b,INCLUDE_PRIMARY,3,YES,YES,YES,n349;n352,AGENT,BEHAVIOR_TO_AGENT|PROCESS_TO_MOTIVE
office_metaphor:n372,office_metaphor,372,rtc_d74aa50c85f74a8aa72675ddc16526aa,591ff9b1-9d07-408d-8146-dc767addb93b,INCLUDE_PRIMARY,1,NO,NO,YES,n373,AGENT,NONE
office_metaphor:n378,office_metaphor,378,rtc_d74aa50c85f74a8aa72675ddc16526aa,591ff9b1-9d07-408d-8146-dc767addb93b,INCLUDE_PRIMARY,0,NO,NO,YES,n379;n381,NA,NONE
office_metaphor:n398,office_metaphor,398,rtc_d74aa50c85f74a8aa72675ddc16526aa,591ff9b1-9d07-408d-8146-dc767addb93b,INCLUDE_PRIMARY,3,YES,YES,YES,n399,AGENT,FUNCTION_TO_OCCUPANT
office_metaphor:n421,office_metaphor,421,rtc_d74aa50c85f74a8aa72675ddc16526aa,591ff9b1-9d07-408d-8146-dc767addb93b,INCLUDE_AMBIGUOUS,1,NO,NO,YES,n422,INTENT,NONE
office_metaphor:n448,office_metaphor,448,rtc_d74aa50c85f74a8aa72675ddc16526aa,591ff9b1-9d07-408d-8146-dc767addb93b,INCLUDE_PRIMARY,2,YES,NO,YES,n449;n452,INTENT,PROCESS_TO_MOTIVE
office_metaphor:n495,office_metaphor,495,rtc_d74aa50c85f74a8aa72675ddc16526aa,591ff9b1-9d07-408d-8146-dc767addb93b,INCLUDE_PRIMARY,0,NO,NO,YES,n496;n499,NA,NONE
office_metaphor:n500,office_metaphor,500,rtc_d74aa50c85f74a8aa72675ddc16526aa,591ff9b1-9d07-408d-8146-dc767addb93b,INCLUDE_PRIMARY,1,NO,NO,YES,n501;n504,AGENT,NONE
office_metaphor:n613,office_metaphor,613,rtc_d74aa50c85f74a8aa72675ddc16526aa,591ff9b1-9d07-408d-8146-dc767addb93b,INCLUDE_PRIMARY,0,NO,NO,YES,n614;n617,NA,NONE
office_metaphor:n640,office_metaphor,640,rtc_d74aa50c85f74a8aa72675ddc16526aa,591ff9b1-9d07-408d-8146-dc767addb93b,INCLUDE_PRIMARY,1,NO,NO,YES,n641;n644,OPERATOR,NONE
office_metaphor:n862,office_metaphor,862,rtc_7eabf3e1c64140359287857e5f8059af,bb205e8d-6155-473b-b7a0-64904105c91c,INCLUDE_PRIMARY,0,NO,NO,YES,n863;n870,NA,NONE
office_metaphor:n909,office_metaphor,909,rtc_7eabf3e1c64140359287857e5f8059af,bb205e8d-6155-473b-b7a0-64904105c91c,INCLUDE_PRIMARY,1,NO,NO,PARTIAL,n910,OPERATOR,NONE
seventeenth_share:n026,seventeenth_share,26,rtc_5057a29e01fc4067b1088d396a142a5a,efbbfce2-fe9a-4fb7-96ff-18c5717914bc,PRIMARY,0,NO,NO,YES,n27;n29;n32,NA,NONE
seventeenth_share:n044,seventeenth_share,44,rtc_5057a29e01fc4067b1088d396a142a5a,efbbfce2-fe9a-4fb7-96ff-18c5717914bc,PRIMARY,0,NO,NO,YES,n45;n49;n50,NA,NONE
seventeenth_share:n063,seventeenth_share,63,rtc_5057a29e01fc4067b1088d396a142a5a,efbbfce2-fe9a-4fb7-96ff-18c5717914bc,PRIMARY,0,NO,NO,YES,n64;n67,NA,NONE
seventeenth_share:n073,seventeenth_share,73,rtc_5057a29e01fc4067b1088d396a142a5a,efbbfce2-fe9a-4fb7-96ff-18c5717914bc,PRIMARY,0,NO,NO,YES,n74;n77,NA,NONE
seventeenth_share:n238,seventeenth_share,238,rtc_4a4887ae84ec4ed69df5ee50c742191d,0f023a35-a219-4a70-96fc-6eba30369688,PRIMARY,0,NO,NO,YES,n239;n244,NA,NONE
seventeenth_share:n259,seventeenth_share,259,rtc_4a4887ae84ec4ed69df5ee50c742191d,0f023a35-a219-4a70-96fc-6eba30369688,PRIMARY,0,NO,NO,YES,n260;n265,NA,NONE
seventeenth_share:n308,seventeenth_share,308,rtc_4a4887ae84ec4ed69df5ee50c742191d,0f023a35-a219-4a70-96fc-6eba30369688,PRIMARY,0,NO,NO,PARTIAL,n309;n312,NA,NONE
seventeenth_share:n332,seventeenth_share,332,rtc_4a4887ae84ec4ed69df5ee50c742191d,0f023a35-a219-4a70-96fc-6eba30369688,PRIMARY,0,NO,NO,YES,n333;n337,NA,NONE
seventeenth_share:n338,seventeenth_share,338,rtc_4a4887ae84ec4ed69df5ee50c742191d,0f023a35-a219-4a70-96fc-6eba30369688,PRIMARY,0,NO,NO,YES,n339;n342,NA,NONE
seventeenth_share:n608,seventeenth_share,608,rtc_4a4887ae84ec4ed69df5ee50c742191d,0f023a35-a219-4a70-96fc-6eba30369688,AMBIGUOUS,0,NO,NO,PARTIAL,n609;n612,NA,NONE
seventh_share:n702,seventh_share,702,rtc_ab4678bee15b4276baf1124375c8e031,fa38c3ee-ff7d-4f2d-91ee-5ebede8df1bf,AMBIGUOUS,0,NO,NO,YES,n703;n706,NA,NONE
seventh_share:n720,seventh_share,720,rtc_ab4678bee15b4276baf1124375c8e031,fa38c3ee-ff7d-4f2d-91ee-5ebede8df1bf,PRIMARY,0,NO,NO,YES,n721;n726,NA,NONE
seventh_share:n1295,seventh_share,1295,rtc_b4716960dd144c349161d83fd1dee7e9,af2dd43c-089f-4af0-b0fc-86f60abaaad2,PRIMARY,3,YES,YES,PARTIAL,n1296;n1304;n1309;n1311,PERSON,BEHAVIOR_TO_AGENT
seventh_share:n2073,seventh_share,2073,rtc_949c126f53694242b25b8372cb85ad15,27a2abd4-e822-4ee5-aa05-2da7c37d40e0,AMBIGUOUS,2,YES,NO,YES,n2074;n2077,AGENT,OTHER_AGENCY_TRANSFORMATION:interaction difficulty -> exchange as adversarial actor
seventh_share:n2104,seventh_share,2104,rtc_82044b89e0ba40a8a44836d066980909,2926e79a-7012-485d-b255-f27621f44152,AMBIGUOUS,0,NO,NO,YES,n2105;n2108,NA,NONE
seventh_share:n2578,seventh_share,2578,rtc_6dca91c6057f4602af8e43b2b3e06c99,258ba58e-1bdd-4701-aef7-605d23fcea85,PRIMARY,0,NO,NO,YES,n2579,NA,NONE
seventh_share:n2643,seventh_share,2643,rtc_6dca91c6057f4602af8e43b2b3e06c99,258ba58e-1bdd-4701-aef7-605d23fcea85,AMBIGUOUS,0,NO,NO,PARTIAL,n2644,NA,NONE
seventh_share:n3107,seventh_share,3107,rtc_6dca91c6057f4602af8e43b2b3e06c99,258ba58e-1bdd-4701-aef7-605d23fcea85,PRIMARY,0,NO,NO,PARTIAL,n3108;n3113;n3116,NA,NONE
sixteenth_share:n192,sixteenth_share,192,rtc_5aa42bc023554ee7a34bfab5b5d1021d,3fc84e28-746d-4e5f-865b-f85f7c73de2f,INCLUDE_PRIMARY,0,NO,NO,YES,n193,NA,NONE
sixth_share:n212,sixth_share,212,rtc_a1b5c7e90d2947458d828d466500e881,d2491a11-df12-4e89-ba60-962dc98d8300,PRIMARY,0,NO,NO,PARTIAL,n213;n216,NA,NONE
sixth_share:n399,sixth_share,399,rtc_a1b5c7e90d2947458d828d466500e881,d2491a11-df12-4e89-ba60-962dc98d8300,PRIMARY,0,NO,NO,YES,n400;n401,NA,NONE
sixth_share:n410,sixth_share,410,rtc_a1b5c7e90d2947458d828d466500e881,d2491a11-df12-4e89-ba60-962dc98d8300,PRIMARY,0,NO,NO,YES,n411,NA,NONE
sixth_share:n419,sixth_share,419,rtc_a1b5c7e90d2947458d828d466500e881,d2491a11-df12-4e89-ba60-962dc98d8300,PRIMARY,0,NO,NO,YES,n420;n421,NA,NONE
sixth_share:n499,sixth_share,499,rtc_a1b5c7e90d2947458d828d466500e881,d2491a11-df12-4e89-ba60-962dc98d8300,PRIMARY,0,NO,NO,YES,n500,NA,NONE
sixth_share:n514,sixth_share,514,rtc_a1b5c7e90d2947458d828d466500e881,d2491a11-df12-4e89-ba60-962dc98d8300,PRIMARY,0,NO,NO,YES,n515,NA,NONE
sixth_share:n533,sixth_share,533,rtc_a1b5c7e90d2947458d828d466500e881,d2491a11-df12-4e89-ba60-962dc98d8300,PRIMARY,0,NO,NO,YES,n534,NA,NONE
tenth_share:n353,tenth_share,353,rtc_b5f776390f43443e88b0e2046b773a41,fe65c1a3-aa54-44b1-9d39-cfa45cb84ff8,INCLUDE_PRIMARY,0,NO,NO,NO,n354,NA,NONE
tenth_share:n458,tenth_share,458,rtc_b5f776390f43443e88b0e2046b773a41,fe65c1a3-aa54-44b1-9d39-cfa45cb84ff8,INCLUDE_PRIMARY,0,NO,NO,YES,n459;n462,NA,NONE
tenth_share:n520,tenth_share,520,rtc_b5f776390f43443e88b0e2046b773a41,fe65c1a3-aa54-44b1-9d39-cfa45cb84ff8,INCLUDE_PRIMARY,0,NO,NO,YES,n521;n523;n527,NA,NONE
tenth_share:n560,tenth_share,560,rtc_b5f776390f43443e88b0e2046b773a41,fe65c1a3-aa54-44b1-9d39-cfa45cb84ff8,INCLUDE_PRIMARY,0,NO,NO,YES,n561;n564,NA,NONE
test4:n281,test4,281,rtc_d305d6313f9a4266be6da78e277c6c8c,346a5a0b-2e8c-4a6f-995e-f295e0dce039,INCLUDE_PRIMARY,0,NO,NO,YES,n282;n285,NA,NONE
test4:n550,test4,550,rtc_534ed01ea6fc495a8407452be3bc6d85,1c682c9b-9ccc-49cc-bdd3-2666f0ebe1e0,INCLUDE_AMBIGUOUS,0,NO,NO,PARTIAL,n551;n555;n557;n559;n561;n563;n565,NA,NONE
test4:n1024,test4,1024,rtc_534ed01ea6fc495a8407452be3bc6d85,1c682c9b-9ccc-49cc-bdd3-2666f0ebe1e0,INCLUDE_AMBIGUOUS,0,NO,NO,YES,n1033,NA,NONE
test4:n1043,test4,1043,rtc_534ed01ea6fc495a8407452be3bc6d85,1c682c9b-9ccc-49cc-bdd3-2666f0ebe1e0,INCLUDE_PRIMARY,0,NO,NO,YES,n1047,NA,NONE
test4:n1069,test4,1069,rtc_534ed01ea6fc495a8407452be3bc6d85,1c682c9b-9ccc-49cc-bdd3-2666f0ebe1e0,INCLUDE_PRIMARY,0,NO,NO,YES,n1071;n1073;n1077,NA,NONE
test4:n1078,test4,1078,rtc_534ed01ea6fc495a8407452be3bc6d85,1c682c9b-9ccc-49cc-bdd3-2666f0ebe1e0,INCLUDE_PRIMARY,0,NO,NO,YES,n1079;n1082,NA,NONE
test4:n1093,test4,1093,rtc_534ed01ea6fc495a8407452be3bc6d85,1c682c9b-9ccc-49cc-bdd3-2666f0ebe1e0,INCLUDE_PRIMARY,0,NO,NO,YES,n1097,NA,NONE
test4:n1098,test4,1098,rtc_534ed01ea6fc495a8407452be3bc6d85,1c682c9b-9ccc-49cc-bdd3-2666f0ebe1e0,INCLUDE_PRIMARY,0,NO,NO,YES,n1102,NA,NONE
third_share:n787,third_share,787,rtc_5c2b05a7b14c4312ac8468375f689ee5,a0028bc6-ecdc-4787-a009-3b7ca1e4b3ec,PRIMARY,0,NO,NO,YES,n788,NA,NONE
twelfth_share:n218,twelfth_share,,,,PRIMARY,3,YES,YES,YES,n219;n220,OCCUPANT,FUNCTION_TO_OCCUPANT
twentyfirst_share:n046,twentyfirst_share,46,,,PRIMARY,3,YES,YES,YES,n068,AGENT,BEHAVIOR_TO_AGENT|FUNCTION_TO_OCCUPANT|ARCHITECTURE_TO_PERSON
twentyfirst_share:n085,twentyfirst_share,85,,,PRIMARY,0,NO,NO,YES,n088,NA,NONE
twentyfirst_share:n101,twentyfirst_share,101,,,PRIMARY,0,NO,NO,YES,n104,NA,NONE
twentyfirst_share:n105,twentyfirst_share,105,,,PRIMARY,0,NO,NO,YES,n107,NA,NONE
twentyfirst_share:n118,twentyfirst_share,118,,,PRIMARY,0,NO,NO,YES,n121,NA,NONE
twentyfirst_share:n122,twentyfirst_share,122,,,AMBIGUOUS,0,NO,NO,YES,n125,NA,NONE
twentyfirst_share:n132,twentyfirst_share,132,,,PRIMARY,0,NO,NO,YES,n135,NA,NONE
twentyfirst_share:n136,twentyfirst_share,136,,,PRIMARY,0,NO,NO,YES,n140,NA,NONE
twentyfirst_share:n141,twentyfirst_share,141,,,PRIMARY,0,NO,NO,YES,n145,NA,NONE
twentyfirst_share:n146,twentyfirst_share,146,,,PRIMARY,0,NO,NO,YES,n149,NA,NONE
twentysecond_share:n127,twentysecond_share,,,,PRIMARY,0,NO,NO,YES,n128,NA,NONE
twentysecond_share:n130,twentysecond_share,,,,PRIMARY,0,NO,NO,PARTIAL,n131,NA,NONE
twentysecond_share:n140,twentysecond_share,,,,PRIMARY,1,NO,NO,YES,n141,PERSON,NONE
twentysecond_share:n257,twentysecond_share,,,,PRIMARY,0,NO,NO,PARTIAL,n258,NA,NONE
twentysecond_share:n412,twentysecond_share,,,,PRIMARY,0,NO,NO,YES,n413;n414,NA,NONE
twentysecond_share:n1298,twentysecond_share,,,,AMBIGUOUS,0,NO,NO,YES,n1299,NA,NONE
twentythird_share:n684,twentythird_share,684,rtc_4afb8c71de7044a3a7ce60cf5727910f,d8664c19-052c-4290-acac-c4c12170230f,INCLUDE_PRIMARY,0,NO,NO,YES,n685;n686,NA,NONE
